Date,Open,High,Low,Close,Volume
12/15/2018 0:00,82.91,83.59,82.26,83.58,1986.49
12/15/2018 1:00,83.58,83.58,83.15,83.43,299.9
12/15/2018 2:00,83.43,83.8,83.01,83.62,506.57
12/15/2018 3:00,83.62,84.15,83.62,83.88,765.99
12/15/2018 4:00,83.88,84.12,83.6,83.83,384.61
12/15/2018 5:00,83.83,83.91,83.43,83.65,297.62
12/15/2018 6:00,83.65,83.8,83.43,83.57,144.01
12/15/2018 7:00,83.57,83.57,83.07,83.5,158.46
12/15/2018 8:00,83.5,83.5,83.17,83.17,105.61
12/15/2018 9:00,83.17,83.3,82.3,82.4,1694.84
12/15/2018 10:00,82.4,82.58,81.82,82.13,2302.57
12/15/2018 11:00,82.13,83.1,82.09,82.74,1383.13
12/15/2018 12:00,82.74,82.93,82.12,82.42,702.8
12/15/2018 13:00,82.42,82.68,81.59,82.03,435.83
12/15/2018 14:00,82.03,82.46,81.79,82.2,735.24
12/15/2018 15:00,82.2,82.21,80.99,81.27,726.32
12/15/2018 16:00,81.27,82.05,81.05,82.03,710.03
12/15/2018 17:00,82.03,82.13,81.61,81.92,310.11
12/15/2018 18:00,81.92,82.08,81.76,81.83,243.21
12/15/2018 19:00,81.83,83.02,81.57,82.25,1472.42
12/15/2018 20:00,82.25,83.62,82.03,83.2,1334.7
12/15/2018 21:00,83.2,83.77,82.75,83.58,586.95
12/15/2018 22:00,83.58,84,83.2,83.2,845.76
12/15/2018 23:00,83.2,83.2,82.63,83.08,154.1
12/16/2018 0:00,83.08,83.44,82.94,83.44,221.91
12/16/2018 1:00,83.44,83.54,83.22,83.23,259.95
12/16/2018 2:00,83.23,86.4,83.22,85.48,3763.85
12/16/2018 3:00,85.48,86.45,85.37,85.92,1322.36
12/16/2018 4:00,85.92,86.6,85.6,85.68,880.01
12/16/2018 5:00,85.68,85.7,85.01,85.37,706.83
12/16/2018 6:00,85.37,85.98,85,85.59,2049.79
12/16/2018 7:00,85.59,85.72,84.82,85.32,404.53
12/16/2018 8:00,85.32,85.39,84.72,84.72,132.49
12/16/2018 9:00,84.72,85.3,84.53,85.24,1059.78
12/16/2018 10:00,85.24,85.68,85.17,85.3,436.05
12/16/2018 11:00,85.3,85.85,85.12,85.85,480.81
12/16/2018 12:00,85.85,86.65,85.55,85.72,1780.94
